Time,Frequency,Amplitude
2024-01-04 19:08:10.571307,"326507000
","-84.3896331787
"
2024-01-04 19:08:10.586267,"323810000
","-86.4979553223
"
2024-01-04 19:08:10.603222,"327906000
","-85.816947937
"
2024-01-04 19:08:10.618188,"322402000
","-86.4254989624
"
2024-01-04 19:08:10.633668,"327367000
","-86.8034744263
"
2024-01-04 19:08:10.649625,"328605000
","-86.1618499756
"
2024-01-04 19:08:10.664585,"327487000
","-85.5977020264
"
2024-01-04 19:08:10.680542,"325818000
","-86.056968689
"
2024-01-04 19:08:10.696500,"319924000
","-86.504699707
"
2024-01-04 19:08:10.711462,"320254000
","-84.9579925537
"
2024-01-04 19:08:10.727942,"322312000
","-85.7077178955
"
2024-01-04 19:08:10.743900,"327796000
","-85.5064697266
"
2024-01-04 19:08:10.758860,"324909000
","-84.7405014038
"
2024-01-04 19:08:10.774817,"325568000
","-86.7445449829
"
2024-01-04 19:08:10.790775,"328346000
","-84.7934341431
"
2024-01-04 19:08:10.805734,"323491000
","-86.3352432251
"
2024-01-04 19:08:10.823219,"320723000
","-84.0954208374
"
2024-01-04 19:08:10.839176,"328076000
","-87.2772369385
"
2024-01-04 19:08:10.854132,"325269000
","-86.4330291748
"
2024-01-04 19:08:10.870090,"319105000
","-87.2373886108
"
2024-01-04 19:08:10.887044,"323560000
","-87.0207290649
"
2024-01-04 19:08:10.902005,"326358000
","-86.6067352295
"
2024-01-04 19:08:10.917971,"327976000
","-85.8983535767
"
2024-01-04 19:08:10.934451,"326997000
","-85.6274795532
"
2024-01-04 19:08:10.949411,"328096000
","-87.0702896118
"
2024-01-04 19:08:10.965368,"320184000
","-85.2389907837
"
2024-01-04 19:08:10.982327,"322302000
","-85.4597167969
"
2024-01-04 19:08:10.997283,"326637000
","-85.1965332031
"
2024-01-04 19:08:11.014251,"323600000
","-85.1098480225
"
2024-01-04 19:08:11.027723,"324330000
","-86.9932785034
"
2024-01-04 19:08:11.043681,"328496000
","-87.4041366577
"
